,record_num,route_number,id,bearing,current_status,current_stop_sequence,direction_id,label,latitude,longitude,occupancy_status,speed,updated_at
0,1,1,y1911,135,IN_TRANSIT_TO,1.0,1,1911,42.32987,-71.08353,MANY_SEATS_AVAILABLE,,2022-08-08 16:05:41
1,2,1,y1910,0,IN_TRANSIT_TO,2.0,1,1910,42.37133499,-71.11686374,,,2022-08-08 16:05:53
2,3,1,y1909,317,IN_TRANSIT_TO,7.0,0,1909,42.3355999,-71.07577309,MANY_SEATS_AVAILABLE,,2022-08-08 16:06:05
3,4,1,y1852,0,IN_TRANSIT_TO,18.0,0,1852,42.36532579,-71.10356982,MANY_SEATS_AVAILABLE,,2022-08-08 16:06:04
4,5,1,y1828,0,IN_TRANSIT_TO,18.0,0,1828,42.36529522,-71.10343698,MANY_SEATS_AVAILABLE,,2022-08-08 16:06:04
5,6,1,y1780,90,IN_TRANSIT_TO,1.0,1,1780,42.32983,-71.08371,MANY_SEATS_AVAILABLE,,2022-08-08 16:06:03
6,7,1,y1751,0,IN_TRANSIT_TO,7.0,1,1751,42.36480521,-71.10280812,FEW_SEATS_AVAILABLE,,2022-08-08 16:06:00
7,8,1,y1735,335,IN_TRANSIT_TO,13.0,0,1735,42.34782938,-71.08799564,MANY_SEATS_AVAILABLE,,2022-08-08 16:05:58
8,9,1,y1723,0,IN_TRANSIT_TO,3.0,1,1723,42.3702435,-71.11343895,MANY_SEATS_AVAILABLE,,2022-08-08 16:06:03
9,10,1,y1911,135,IN_TRANSIT_TO,1.0,1,1911,42.32987,-71.08353,MANY_SEATS_AVAILABLE,,2022-08-08 16:05:41
10,11,1,y1910,0,IN_TRANSIT_TO,2.0,1,1910,42.37133499,-71.11686374,,,2022-08-08 16:05:53
11,12,1,y1909,322,IN_TRANSIT_TO,7.0,0,1909,42.33522055,-71.07527088,MANY_SEATS_AVAILABLE,,2022-08-08 16:05:59
12,13,1,y1852,0,IN_TRANSIT_TO,18.0,0,1852,42.36532092,-71.10356167,MANY_SEATS_AVAILABLE,,2022-08-08 16:06:00
13,14,1,y1828,0,IN_TRANSIT_TO,18.0,0,1828,42.3652873,-71.1034161,MANY_SEATS_AVAILABLE,,2022-08-08 16:05:58
14,15,1,y1780,0,IN_TRANSIT_TO,1.0,1,1780,42.33004335,-71.08379737,MANY_SEATS_AVAILABLE,,2022-08-08 16:05:52
15,16,1,y1751,0,IN_TRANSIT_TO,7.0,1,1751,42.36480521,-71.10280812,FEW_SEATS_AVAILABLE,,2022-08-08 16:06:00
16,17,1,y1735,335,IN_TRANSIT_TO,13.0,0,1735,42.34782938,-71.08799564,MANY_SEATS_AVAILABLE,,2022-08-08 16:05:58
17,18,1,y1723,125,IN_TRANSIT_TO,3.0,1,1723,42.37021475,-71.11342213,MANY_SEATS_AVAILABLE,,2022-08-08 16:05:57
18,19,1,y1911,135,IN_TRANSIT_TO,1.0,1,1911,42.32987,-71.08353,MANY_SEATS_AVAILABLE,,2022-08-08 16:05:41
19,20,1,y1910,0,IN_TRANSIT_TO,2.0,1,1910,42.3713245,-71.11685431,,,2022-08-08 16:06:13
20,21,1,y1909,316,IN_TRANSIT_TO,8.0,0,1909,42.33581249,-71.07603226,MANY_SEATS_AVAILABLE,,2022-08-08 16:06:08
21,22,1,y1852,0,IN_TRANSIT_TO,18.0,0,1852,42.36532579,-71.10356982,MANY_SEATS_AVAILABLE,,2022-08-08 16:06:04
22,23,1,y1828,0,IN_TRANSIT_TO,18.0,0,1828,42.36529522,-71.10343698,MANY_SEATS_AVAILABLE,,2022-08-08 16:06:04
23,24,1,y1780,90,IN_TRANSIT_TO,1.0,1,1780,42.32983,-71.08371,MANY_SEATS_AVAILABLE,,2022-08-08 16:06:03
24,25,1,y1751,0,IN_TRANSIT_TO,7.0,1,1751,42.36480521,-71.10280812,FEW_SEATS_AVAILABLE,,2022-08-08 16:06:00
25,26,1,y1735,235,IN_TRANSIT_TO,13.0,0,1735,42.34805508,-71.08832151,MANY_SEATS_AVAILABLE,,2022-08-08 16:06:13
26,27,1,y1723,0,IN_TRANSIT_TO,3.0,1,1723,42.3702435,-71.11343895,MANY_SEATS_AVAILABLE,,2022-08-08 16:06:03
27,28,1,y1911,135,IN_TRANSIT_TO,1.0,1,1911,42.32987,-71.08353,MANY_SEATS_AVAILABLE,,2022-08-08 16:05:41
28,29,1,y1910,105,IN_TRANSIT_TO,2.0,1,1910,42.37127205,-71.11667727,,,2022-08-08 16:06:18
29,30,1,y1909,316,IN_TRANSIT_TO,8.0,0,1909,42.33626505,-71.07651005,MANY_SEATS_AVAILABLE,,2022-08-08 16:06:17
